127.0.0.1 - - [17/Nov/2023:00:09:17 +0100] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:09:20 +0100] "GET /startingWay/GetMenuServlet HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:09:20 +0100] "GET /favicon.ico HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:11:05 +0100] "GET /startingWay/CreateAccountUserServlet HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:12:24 +0100] "POST /startingWay/CreateAccountUserServlet HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:12:54 +0100] "GET /startingWay/LoginUserServlet HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:13:55 +0100] "POST /startingWay/LoginUserServlet HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:14:15 +0100] "GET /startingWay/LoginUserServlet HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:14:45 +0100] "POST /startingWay/LoginUserServlet HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:14:53 +0100] "GET /startingWay/DeconnectUserServlet HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:15:16 +0100] "POST /startingWay/LoginUserServlet HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:15:24 +0100] "GET /startingWay/DeconnectUserServlet HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:16:03 +0100] "GET /startingWay/LoginUserServlet HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:16:09 +0100] "GET /startingWay/StartingWayServlet HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:17:19 +0100] "POST /startingWay/DeleteUserServlet HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:17:28 +0100] "GET /startingWay/StartingWayServlet HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:17:44 +0100] "GET /startingWay/RechercheUserNameServlet?id= HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:17:57 +0100] "POST /startingWay/RechercheUserNameServlet HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [17/Nov/2023:00:18:23 +0100] "POST /startingWay/RechercheUserNameServlet HTTP/1.1" 200 493
